cell,carbon_price,demand_level,year,existing_units,existing_installed_mw,existing_retained_mw,existing_keeping_cost_aud_per_yr,existing_retired_mw,retained_mw_biomass,retained_mw_black_coal,retained_mw_brown_coal,retained_mw_gas,retained_mw_liquid_fuel,retained_mw_solar,retained_mw_water,retained_mw_wind,carried_capex_aud_per_yr,existing_fleet_fom_aud_per_yr,carried_gw,cost_per_mwh_excl_fuel_carbon,avg_cost_aud_per_mwh,delivered_twh,keeping_vs_extractor_fom_ratio
sweep_c300_d100,300,d100,2050,290,48704.143385020834,46998.85430976017,2309268390.811636,1705.2890752606618,0.0,223.83734362139563,0.0,1839.2060413994427,0.0,18652.810924739337,6885.2999999999965,19397.699999999997,13710836404.114157,2309268390.811636,66.0973061066364,91.73195531248768,108.45325655915856,251.9382881735692,1.0
sweep_c300_d110,300,d110,2030,329,73870.4,56855.947766889745,2895865223.9469023,17014.45223311025,32.0,3719.298950931365,0.00349354896429284,7107.487108310048,0.058214099361946894,19599.6,6885.299999999998,19512.2,0.0,2895865223.9469028,0.0,72.70038118600783,95.01733846055087,207.83498256475784,0.9999999999999999
sweep_c300_d110,300,d110,2040,308,55296.260291682105,52787.584218136675,2875649575.5947638,2508.67607354543,32.0,1330.6190257356063,0.0,5427.808093135145,0.05709926592769024,19599.6,6885.299999999998,19512.199999999997,9217148799.185017,2875649575.594764,39.38843791850653,90.2087748825341,113.99074482246772,261.4625571932453,0.9999999999999999
sweep_c300_d110,300,d110,2050,290,49062.19464546637,47153.8689519156,2334812123.3749876,1908.325693550767,0.0,581.7818940182495,0.0,1839.2556521822023,0.05709926592769024,18449.774306449235,6885.2999999999965,19397.699999999997,16421924067.611193,2334812123.374988,76.15480454073317,95.88409996089848,115.23185144946896,277.13211699092614,0.9999999999999998
sweep_c300_d123,300,d123,2030,329,73870.4,57860.60089455367,2932984194.2782927,16009.799105446327,32.0,4214.237158457364,0.00311606298767994,7617.149565157808,0.11105487550166199,19599.6,6885.299999999998,19512.2,0.0,2932984194.2782927,0.0,76.01332187377476,102.49719195447663,233.29514581072715,1.0
sweep_c300_d123,300,d123,2040,308,56233.52725975806,53621.4217360834,2911005373.7625995,2612.1055236746615,32.0,1722.1301014764224,0.0,5870.080579731484,0.11105487550166199,19599.6,6885.299999999998,19512.199999999997,11676166038.477272,2911005373.7626,48.84204135435548,92.75875259124686,121.46628500756772,293.4921958358854,0.9999999999999999
sweep_c300_d123,300,d123,2050,290,49619.88501723793,47880.22960052133,2375376818.213403,1739.6554167166032,0.0,839.673962362439,0.0,2139.0,0.11105487550166199,18618.4445832834,6885.2999999999965,19397.699999999997,19562615028.229576,2375376818.2134027,87.45591411091505,100.15628319448922,122.87062451088974,311.08130519889096,1.0000000000000002
sweep_c550_d087,550,d087,2030,329,73870.4,54565.17916861495,2794586519.720989,19305.220831385042,31.99999999999998,440.057550740973,0.0,8096.021617873977,0.0,19599.600000000002,6885.299999999999,19512.199999999997,0.0,2794586519.720989,0.0,71.30744651703809,86.97298970847326,164.2927979538681,1.0
sweep_c550_d087,550,d087,2040,308,53006.77399207438,51535.96235234485,2787714458.3587503,1470.8116397295234,31.99999999999998,0.00023633008825848937,0.0,5628.014636984258,0.0,19599.6,6885.299999999997,19391.047479030516,6087120550.817287,2787714458.358751,24.96236803877488,88.37008797103283,104.39250623369104,206.68520068832512,0.9999999999999998
sweep_c550_d087,550,d087,2050,290,48757.92457083677,46297.05094500752,2263991848.068467,2460.8736258292483,0.0,0.0,0.0,2295.9696877918022,0.0,17839.2337781852,6885.2999999999965,19276.547479030516,11618012870.891869,2263991848.068467,56.60980368786589,92.95105398807284,105.1168072683079,219.0719307281744,1.0
sweep_c550_d100,550,d100,2030,329,73870.4,54910.92966143161,2805588436.7126694,18959.470338568382,32.0,518.7314607882574,8.252281764911597e-05,8363.090040205581,0.008077914951344797,19599.6,6885.299999999998,19512.2,0.0,2805588436.712669,0.0,76.85625402501245,96.66031433752562,188.9408932406889,1.0000000000000002
sweep_c550_d100,550,d100,2040,308,53352.508834856984,52460.88231897749,2818939347.2415123,891.6265158794922,32.0,0.00029326100301547715,0.0,6431.773947801543,0.008077914951344797,19599.6,6885.299999999998,19512.199999999997,8728095888.097494,2818939347.2415123,36.45527622801418,95.98313466695274,115.02634985940897,237.6932338120412,1.0
sweep_c550_d100,550,d100,2050,290,49146.15528620233,46742.545089333275,2277851532.2251835,2403.6101968690564,0.0,0.0,0.0,2563.0,0.008077914951344797,17896.53701141833,6885.2999999999965,19397.699999999997,15235712608.88446,2277851532.2251835,69.13396461261672,100.434095099031,115.52893513451409,251.9382881735692,1.0
sweep_c550_d110,550,d110,2030,329,73870.4,55653.22843829955,2829051700.2977085,18217.171561700445,32.00000000000001,1140.993588650701,0.0,8483.134849648834,0.0,19599.600000000006,6885.3,19512.200000000004,0.0,2829051700.297709,0.0,83.32627720770753,103.1932009637139,207.83498256475784,0.9999999999999998
sweep_c550_d110,550,d110,2040,308,54094.75796207522,52615.648372614,2822824726.452223,1479.1095894612226,32.0,0.005084803858992155,0.0,6586.543287810146,0.0,19599.6,6885.299999999999,19512.2,11350299651.723837,2822824726.452223,45.97057462860515,102.80399300356032,122.02142394085406,261.4625571932453,1.0
sweep_c550_d110,550,d110,2050,290,49048.39718528646,46701.00560126672,2277422269.135432,2347.391584019744,0.0,0.0,0.0,2465.233198452205,0.0,17952.772402814542,6885.299999999995,19397.699999999968,18644746250.03521,2277422269.135432,79.69727588675161,106.12940921504952,122.7382816508082,277.13211699092614,1.0
sweep_c550_d123,550,d123,2030,329,73870.4,56030.79359585551,2842636406.6424503,17839.606404144484,32.000000000000014,1425.8960263253994,0.0008471468865549632,8575.796722383211,0.0,19599.600000000006,6885.3,19512.200000000008,0.0,2842636406.6424503,0.0,89.0727285086461,111.09790877615204,233.29514581072715,1.0
sweep_c550_d123,550,d123,2040,308,54392.24756314824,52538.597814199406,2820071366.479289,1853.649748948832,32.0,0.00012692454019685935,0.0,6509.497687274866,0.0,19599.6,6885.299999999998,19512.2,14577864928.51852,2820071366.4792886,56.58032988291772,108.64677641085814,130.55907514827675,293.4921958358854,1.0000000000000002
sweep_c550_d123,550,d123,2050,290,48896.42213351416,46133.72395953235,2260564557.1546044,2762.6981739818148,0.0,0.0,0.0,1943.2794575531566,0.0,17907.4445019792,6885.299999999995,19397.699999999993,22774079071.153515,2260564557.1546044,93.64547110072624,112.96124206326496,130.50323117012107,311.08130519889096,1.0
