run_id,demand_level,cap_key,year,trace_directory,cap_t,share_min,solver_options,model_status,objective_value,pdlp_gap_rel,lp_rows,solve_s,wall_clock_s,network_path,record_path
idm_d150_i025_2040,d150,i025,2040,traces_d150,16197305.686303737,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,37713830000.0,,12598724,29430.652439400088,30043.39107210003,analysis\benchmarks\runs_myopic\idm_d150_i025_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i025_2040.json
idm_d150_i025_2050,d150,i025,2050,traces_d150,9013473.112215469,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,36120358300.0,,12646736,27098.176027200185,27999.86070569977,analysis\benchmarks\runs_myopic\idm_d150_i025_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i025_2050.json
idm_d150_i050_2030,d150,i050,2030,traces_d150,56030083.43005766,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,14507656200.0,,12030866,23226.79496670002,23866.016586800106,analysis\benchmarks\runs_myopic\idm_d150_i050_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i050_2030.json
idm_d150_i050_2040,d150,i050,2040,traces_d150,32394611.372607473,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,32858735700.0,,12598724,5587.894526700024,6185.538029999938,analysis\benchmarks\runs_myopic\idm_d150_i050_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i050_2040.json
idm_d150_i050_2050,d150,i050,2050,traces_d150,18026946.224430937,,"{""BarConvTol"": 1e-08, ""Threads"": 40, ""Method"": 2}",Optimal,32353260000.0,,12646736,7667.0347411003895,8269.922218100168,analysis\benchmarks\runs_myopic\idm_d150_i050_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i050_2050.json
idm_d150_i100_2030,d150,i100,2030,traces_d150,112060166.86011532,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,10921133900.0,,12030866,2387.2285267999396,2977.761010600254,analysis\benchmarks\runs_myopic\idm_d150_i100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i100_2030.json
idm_d150_i100_2040,d150,i100,2040,traces_d150,64789222.74521495,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,29635611400.0,,12598724,6725.517560099717,7291.683526800014,analysis\benchmarks\runs_myopic\idm_d150_i100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i100_2040.json
idm_d150_i100_2050,d150,i100,2050,traces_d150,36053892.448861875,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,28798576200.0,,12646736,26396.91999730002,27013.308329799678,analysis\benchmarks\runs_myopic\idm_d150_i100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i100_2050.json
idm_d150_i150_2030,d150,i150,2030,traces_d150,168090250.290173,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,10883698700.0,,12030866,3118.4570239000022,3751.384619699791,analysis\benchmarks\runs_myopic\idm_d150_i150_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i150_2030.json
idm_d150_i150_2040,d150,i150,2040,traces_d150,97183834.11782242,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,29635611400.0,,12598724,7113.323371900246,7717.29563840013,analysis\benchmarks\runs_myopic\idm_d150_i150_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i150_2040.json
idm_d150_i150_2050,d150,i150,2050,traces_d150,54080838.673292816,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,28397186200.0,,12646736,11486.674897500314,12091.19448080007,analysis\benchmarks\runs_myopic\idm_d150_i150_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i150_2050.json
