cell,year,carrier,duration_class,power_gw,energy_gwh,units
sweep_c300_d100,2050,Battery,3_4to8h,1.4782352080459031,7.088940832183613,28.0
sweep_c300_d100,2050,Battery,4_8h,17.545848140645337,140.3667851251627,30.0
sweep_c300_d100,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d100,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d100,2050,Water,5_over8to24h,3.3795064351999087,62.817064351999086,4.0
sweep_c300_d100,2050,Water,6_over24h,2.4137835110465864,360.06160853023613,4.0
sweep_c300_d110,2030,Battery,1_under_2h,5.166081824742588,7.726961824742587,33.0
sweep_c300_d110,2030,Battery,2_2to4h,6.995172298673433,17.898644597346866,38.0
sweep_c300_d110,2030,Battery,3_4to8h,1.7301045598940916,8.113218239576366,11.0
sweep_c300_d110,2030,Battery,4_8h,4.706415943168805,37.65132754535044,18.0
sweep_c300_d110,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c300_d110,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d110,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d110,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d110,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c300_d110,2040,Battery,1_under_2h,5.016777647525429,7.48655764752543,40.0
sweep_c300_d110,2040,Battery,2_2to4h,6.908071481241531,17.724442962483064,47.0
sweep_c300_d110,2040,Battery,3_4to8h,1.7775944471455158,8.303177788582065,24.0
sweep_c300_d110,2040,Battery,4_8h,14.798277821669872,118.38622257335898,33.0
sweep_c300_d110,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d110,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d110,2040,Water,5_over8to24h,3.381049850409292,62.84791609702292,5.0
sweep_c300_d110,2040,Water,6_over24h,2.397302334903234,359.2705120753552,2.0
sweep_c300_d110,2050,Battery,1_under_2h,2.6605958227828417,4.4239958227828415,22.0
sweep_c300_d110,2050,Battery,2_2to4h,3.1473991825680985,8.169998365136196,29.0
sweep_c300_d110,2050,Battery,3_4to8h,1.4657394895148257,7.038957958059303,22.0
sweep_c300_d110,2050,Battery,4_8h,20.45574277069992,163.64594216559937,29.0
sweep_c300_d110,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d110,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d110,2050,Water,5_over8to24h,3.381049850409292,62.84791609702292,5.0
sweep_c300_d110,2050,Water,6_over24h,2.5078078334105127,364.5747760037046,3.0
sweep_c300_d123,2030,Battery,1_under_2h,5.166271068978319,7.727151068978319,32.0
sweep_c300_d123,2030,Battery,2_2to4h,6.996245546281411,17.90079109256282,38.0
sweep_c300_d123,2030,Battery,3_4to8h,1.7366611971547283,8.139444788618913,14.0
sweep_c300_d123,2030,Battery,4_8h,5.875191112846975,47.0015289027758,18.0
sweep_c300_d123,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c300_d123,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d123,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d123,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d123,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c300_d123,2040,Battery,1_under_2h,5.014029872958068,7.483809872958067,35.0
sweep_c300_d123,2040,Battery,2_2to4h,6.90436606357738,17.71703212715476,41.0
sweep_c300_d123,2040,Battery,3_4to8h,1.7812119289648483,8.317647715859396,24.0
sweep_c300_d123,2040,Battery,4_8h,16.53763406527864,132.30107252222913,33.0
sweep_c300_d123,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d123,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d123,2040,Water,5_over8to24h,3.380692009386171,62.8441279116309,5.0
sweep_c300_d123,2040,Water,6_over24h,2.320483929216346,355.5832286023846,2.0
sweep_c300_d123,2050,Battery,1_under_2h,2.666772434514622,4.430172434514622,23.0
sweep_c300_d123,2050,Battery,2_2to4h,3.1548129828180267,8.184825965636055,29.0
sweep_c300_d123,2050,Battery,3_4to8h,1.4810510075003087,7.100204030001236,27.0
sweep_c300_d123,2050,Battery,4_8h,23.90420521531877,191.23364172255015,30.0
sweep_c300_d123,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d123,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d123,2050,Water,5_over8to24h,3.380692009386171,62.8441279116309,5.0
sweep_c300_d123,2050,Water,6_over24h,2.9040176129153936,383.5928454199389,4.0
sweep_c550_d087,2030,Battery,1_under_2h,5.165387030108776,7.726267030108775,32.0
sweep_c550_d087,2030,Battery,2_2to4h,6.9954813201668,17.8992626403336,38.0
